url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/mana/mana,mana,10,38,"Mana client","2011-03-14 15:44:32"
https://api.github.com/repos/tablexi/nucore-open,nucore-open,27,63,"Northwestern University Core Facility Management Software (NUCore)","2011-03-04 04:45:37"
https://api.github.com/repos/mozilla-services/mozservices,mozservices,11,21,,"2011-10-19 00:12:33"
https://api.github.com/repos/Eyescale/Equalizer,Equalizer,12,43,"Equalizer is the standard middleware to create and deploy parallel OpenGL-based applications. It enables applications to benefit from multiple graphics cards, processors and computers to scale the rendering performance, visual quality and display size. An","2011-03-28 05:41:53"
https://api.github.com/repos/BroadleafCommerce/BroadleafCommerce,BroadleafCommerce,12,62,"Broadleaf Commerce - Enterprise eCommerce framework based on Spring","2011-12-09 08:53:52"
https://api.github.com/repos/crowdint/rails3-jquery-autocomplete,rails3-jquery-autocomplete,33,85,"An easy and unobtrusive way to use jQuery's autocomplete with Rails 3","2010-07-15 17:12:26"
https://api.github.com/repos/OP2/OP2-Common,OP2-Common,14,44,"The repository has been completely rewritten! Please *safely backup* your local clone and obtain a fresh clone!","2011-06-03 06:36:25"
https://api.github.com/repos/mozilla/jwcrypto,jwcrypto,22,41,"JavaScript implementation of JSON Web Signatures, JSON Web Tokens, and JSON Web Certificates","2011-08-12 14:59:55"
https://api.github.com/repos/plone/Products.CMFPlone,Products.CMFPlone,234,73,None,"2011-09-24 16:41:32"
https://api.github.com/repos/twitter/flockdb,flockdb,240,48,"A distributed, fault-tolerant graph database","2010-04-11 18:53:45"
https://api.github.com/repos/jenkinsci/warnings-plugin,warnings-plugin,301,27,"Jenkins warnings plugin","2010-12-14 11:42:03"
https://api.github.com/repos/aptana/Pydev,Pydev,16,47,"Aptana Python IDE","2009-08-20 09:20:05"
https://api.github.com/repos/rightscale/right_aws,right_aws,99,61,"RightScale Amazon Web Services Ruby Gems","2009-06-17 07:37:34"
https://api.github.com/repos/MacRuby/MacRuby,MacRuby,10,68,"MacRuby is an implementation of Ruby 1.9 directly on top of Mac OS X core technologies such as the Objective-C runtime and garbage collector, the LLVM compiler infrastructure and the Foundation and ICU frameworks.","2010-10-10 13:31:20"
https://api.github.com/repos/thoughtbot/shoulda,shoulda,72,22,"Makes tests easy on the fingers and the eyes","2008-04-14 04:27:26"
https://api.github.com/repos/OpenEmu/OpenEmu,OpenEmu,15,66,openemu,"2010-12-20 11:13:58"
https://api.github.com/repos/jenkinsci/jenkins.rb,jenkins.rb,305,54,"Use the Jenkins continuous integration server","2010-03-05 08:56:12"
https://api.github.com/repos/zurb/joyride,joyride,13,53,"jQuery feature tour plugin.","2011-10-12 13:25:51"
https://api.github.com/repos/nasa/mct,mct,12,66,"Real-time monitoring and visualization platform. See an overview and demo at http://sites.google.com/site/openmct","2012-05-01 07:10:09"
https://api.github.com/repos/frogatto/frogatto,frogatto,13,22,"Frogatto & Friends is an old-school 2D platformer game.","2011-06-20 11:00:41"
https://api.github.com/repos/ging/social_stream,social_stream,10,36,"Social Stream is a core for building social network websites.","2010-09-24 06:19:58"
https://api.github.com/repos/Cotonti/Cotonti,Cotonti,11,34,"Fast, reliable and flexible PHP CMF/CMS","2010-10-24 03:17:40"
https://api.github.com/repos/flatiron/resourceful,resourceful,20,56,"A storage agnostic resource-oriented ODM for building prototypical models with validation and sanitization.","2011-09-08 16:42:16"
https://api.github.com/repos/svenfuchs/text-to-squares,text-to-squares,10,67,"Railsgirls Berlin Learning Group Project","2012-07-31 01:20:11"
https://api.github.com/repos/customink/fauxhai,fauxhai,20,34,"Easily mock full ohai data","2012-07-08 08:15:18"
https://api.github.com/repos/projectblacklight/blacklight,blacklight,12,95,"Blacklight provides a discovery interface for any Solr (http://lucene.apache.org/solr) index.","2009-10-30 12:03:30"
